,individual_name
AluSx,301005
AluJb,251692
MIRb,206087
MIR,153574
AluY,111981
L2a,104092
L2c,86373
MIRc,82173
MIR3,78717
L2b,74761
AluSx1,54030
AluSz,47649
L2,44723
AluSp,40249
L2d2,37008
AluSg,34195
FLAM_C,32847
L1M5,32019
MER5A,31115
AluSz6,30861
L3,29751
AluSq2,29577
AluSc,23710
L2d,22895
MER5B,22774
L1ME4a,21065
AluSx3,19746
AluSc8,19212
THE1B,18847
MLT1A0,16227
MER20,15687
AluJo,15650
L1ME4b,14909
MSTA,14819
FRAM,14759
AluJr,14661
AluSq,14462
L1ME3G,14445
MER5A1,14349
MLT1D,14276
L1ME1,14169
L1MC4,13979
MIR1_Amn,13598
MLT1K,13573
MER58A,12931
MLT1C2,12706
MLT1B,12268
MLT1J,11622
THE1D,11199
L1MB8,11101
L1PA4,10776
L1MB3,10628
AluYk2,10601
HAL1,10255
MLT1A,10212
L1MC5a,10149
L1PA7,10091
L1MB7,10050
MER3,9870
L1PA5,9740
AluSx4,9561
L1MA9,9456
L1PA16,9287
L1M4,9286
MLT1L,9180
L1ME3A,9044
L1MC5,8807
MLT1I,8729
L1PA3,8440
MER103C,8205
Tigger1,8150
MSTB,7944
L3b,7859
L1ME4c,7848
THE1C,7847
MADE1,7766
MER2,7683
FLAM_A,7541
MLT1H,7530
L1MEd,7526
LTR33,7483
AluJr4,7434
L1MC1,7396
L1ME3Cz,7315
AluYk3,7292
MER33,7242
AluSg4,7203
L1PB1,7180
Alu,7106
L1MA8,6861
L1MEc,6802
L1MA4,6651
AluSg7,6568
L1PREC2,6529
L1PA13,6458
L1MC3,6404
L1PA8,6369
MSTD,6314
AluYe5,5854
L1MA7,5830
L1PA10,5816
MER58B,5716
L1MD2,5626
L1ME2,5549
L1MB4,5527
MLT1A1,5492
LTR16C,5485
MLT1J2,5483
L1M1,5451
MER53,5362
L1PA15,5351
L1M2,5342
L1M3,5340
L1PB4,5297
Charlie4z,5284
L1MB5,5250
L1MEg,5150
MER1B,5096
MLT1C,5076
HAL1ME,5018
MamRTE1,5006
L1MB2,4908
MamTip2b,4888
L1MD,4878
Tigger3a,4868
MER94,4860
L1MC,4827
MLT1N2,4761
L1PA2,4646
L1MC4a,4635
MLT1F2,4620
L1MA2,4542
L1MA3,4468
L4_A_Mam,4431
AluYa5,4389
L1PA6,4361
ERVL-E-int,4280
L1ME3,4235
Tigger3b,4166
MamSINE1,4154
Charlie1a,4149
Tigger15a,4075
MER112,4054
L1MEf,4039
MLT1J1,3994
MLT1O,3936
MER117,3919
L1ME2z,3898
MamTip2,3892
L1MD3,3849
MER21C,3844
L1MA10,3840
MLT1H2,3839
AluYb8,3834
MER63A,3828
L1ME3B,3761
MSTB1,3744
MER30,3694
AluSc5,3609
MER81,3557
L1MC2,3426
Charlie8,3425
MER91A,3415
L4_C_Mam,3411
L1MB1,3409
L1PA17,3365
LTR16A,3328
LTR79,3296
MER20B,3266
Tigger4a,3258
L1MA6,3255
L1P4,3246
MLT1F,3241
MLT2B1,3230
MER45A,3223
L1M6,3205
AluSq10,3165
Tigger19a,3164
MLT1E2,3138
L1MA4A,3136
MER113,3088
MLT2D,3082
L1P3,3080
L1PA11,3043
THE1A,3022
Charlie7,3021
MER1A,3015
Tigger7,2994
MLT2B3,2980
Charlie15a,2971
AluYm1,2952
HAL1b,2948
Tigger2a,2946
LTR78,2941
MARNA,2908
Tigger19b,2849
L1P1,2833
L1MA1,2830
AluYc,2814
MLT2B4,2805
MLT1H1,2794
LTR67B,2794
MER102b,2759
MER102c,2758
MADE2,2754
L1MEi,2744
Plat_L3,2739
L1MCa,2657
MamRep605,2655
MER102a,2640
L1MD1,2636
LTR16,2627
L1MDa,2624
LTR8,2613
MLT1G1,2547
MLT1E1A,2511
Tigger2,2496
MER46C,2495
MLT2A1,2460
Charlie5,2458
L1MA5,2448
L1PA14,2432
L1ME5,2430
OldhAT1,2424
Tigger13a,2412
SVA_A,2390
L4_B_Mam,2389
MLT1F1,2386
MSTC,2384
MER58C,2362
MER39,2357
MER47A,2279
Charlie4a,2278
L1ME3F,2267
Charlie18a,2257
L1MA5A,2231
L1PB3,2223
MLT2B2,2212
LTR16A1,2170
MLT1G3,2167
MLT1G,2161
MER21B,2144
Charlie2b,2132
MamRep137,2093
MamRep434,2089
L1ME3E,2089
Tigger4b,2081
LTR78B,2079
MER104,2077
L1PB2,2074
Arthur1,2073
MER41B,2071
MER115,2039
AmnSINE1,2019
Tigger5b,2018
LTR12C,2008
MER44A,1998
LTR16E1,1990
L1ME3D,1988
Charlie2a,1981
MER41A,1971
ERV3-16A3_I,1964
Charlie1b,1942
MamRep38,1934
MLT2C1,1916
MER91C,1908
FAM,1894
MER96B,1879
MamRep605b,1876
MER8,1862
MER113A,1861
MLT1M,1852
Tigger17a,1829
LTR91A,1825
LTR16E2,1814
MER2B,1786
MER4A1,1778
AluYg6,1769
AluYh3,1768
MER50,1733
MER63B,1731
LTR50,1724
LTR33A,1721
AluYk4,1714
Tigger3c,1687
L1ME3C,1655
Arthur1B,1642
L1M7,1642
L1PA8A,1634
L1M4b,1614
LFSINE_Vert,1612
Zaphod,1606
AluSq4,1599
Charlie15b,1576
LTR16A2,1573
Tigger16a,1565
LTR40a,1564
L1HS,1554
LTR37A,1543
Charlie1,1528
LTR7,1527
LTR85a,1504
L1MEh,1501
Charlie19a,1498
L1M4c,1468
MLT2F,1460
HERV16-int,1446
MER44B,1442
L1PB,1441
MER11C,1431
L1MCc,1400
LTR37B,1395
CR1_Mam,1387
HSMAR2,1384
BLACKJACK,1383
Charlie23a,1378
MER91B,1378
AluYa8,1375
MER39B,1369
Charlie7a,1368
L1MEb,1363
LTR104_Mam,1361
AluYf1,1358
MLT1E3,1337
MamRep1879,1333
Charlie16a,1330
Tigger14a,1325
Tigger16b,1322
MLT2A2,1312
X12_DNA,1310
MSTB2,1297
L1M4a1,1290
L1PA12,1290
Charlie24,1271
LTR33A_v,1266
LTR16B2,1254
L1MEj,1237
MER96,1236
MER68,1226
MER4B,1225
L1MCb,1222
Tigger4,1220
LTR33B,1208
AluYj4,1194
LTR12E,1192
Kanga2_a,1191
Charlie17a,1188
MER74A,1180
AmnL2-1,1178
Tigger10,1178
MER66B,1177
hAT-1_Mam,1164
MER63D,1153
MER31B,1153
LTR88b,1152
Chap1a_Mam,1151
LTR8B,1148
MER45C,1141
MER5C,1140
L1PBa,1131
MER31A,1125
MER21A,1119
HAL1M8,1117
LTR49,1116
MER52A,1104
LTR91,1102
MER4D1,1100
MER34,1097
LTR8A,1094
Charlie16,1091
Tigger20a,1082
Arthur1A,1076
MamRep4096,1071
L1P2,1068
Tigger2b_Pri,1068
MER67C,1066
MamGypsy2-I,1066
MER77,1049
MER34A,1045
X6a_DNA,1041
LTR54,1036
ERVL-B4-int,1035
MER77B,1031
X6b_DNA,1028
LTR16B1,1016
X7A_LINE,1014
MamTip3,1014
Ricksha_c,1005
MER45B,1001
MER89,996
Tigger18a,996
ORSL,995
Charlie22a,992
Tigger3,987
Charlie29b,983
LTR16D,980
X7B_LINE,974
MLT2C2,968
MER65A,958
HERVIP10FH-int,952
MamGypLTR1b,950
MER121,945
X26_DNA,936
SVA_E,934
MER131,933
MER57B2,932
MER49,932
MER119,927
ERV3-16A3_LTR,927
Charlie10,922
MamGypLTR3a,919
Zaphod3,914
MamGypLTR1c,911
Charlie29a,908
MER85,906
LTR85b,902
LTR85c,895
Arthur2,895
LTR32,895
X17_LINE,889
L1M8,888
MLT2B5,882
MamRep1151,880
AluYh7,880
MER67D,879
MER44C,878
LTR40b,876
CR1-3_Croc,875
Helitron3Na_Mam,873
MER57A1,869
SVA_B,866
EuthAT-2,864
LTR101_Mam,859
SVA_D,857
X6A_LINE,853
L1M4a2,851
LOR1b,845
MER74B,844
Tigger22N1,840
MamRep1527,839
LTR81B,836
L2-1_AMi,826
LTR48B,826
LTR52,824
Tigger9a,819
LTR84b,818
Tigger8,814
MER106B,810
MER47C,801
Cheshire,800
MER4D,797
MLT1E1,796
LTR9D,796
LTR89,791
LTR88c,790
L1M,784
MER6A,783
MER90,782
Penelope1_Vert,779
MER51A,775
EUTREP2,774
MamGypLTR2b,768
Kanga11a,763
Charlie25,763
MamGypLTR2c,763
Charlie9,760
MER4E1,758
AluYc3,755
LTR56,755
Kanga1c,751
LTR41,746
MER124,746
MER63C,744
MamGypLTR1a,744
LTR39,743
MER135,743
MER58D,742
MamTip1,742
Tigger12c,740
X30_DNA,739
AluYi6,733
MER57B1,732
LTR2,730
LTR82B,729
HERVL-int,721
FordPrefect,719
L1PA15-16,719
MER52D,716
MER4-int,713
AluYh9,710
LTR82A,706
MamGypsy2-LTR,704
LTR48,699
LTR54B,697
Kanga1,695
LOR1a,689
MER11A,689
hAT-5_Mam,685
MER4A,684
MamTip3B,683
MER90a,679
Tigger12,678
MER94B,677
MER105,676
SVA_F,673
Charlie31a,669
LTR12_v,666
AluYk12,665
LTR1A2,665
LTR33C,664
MLT1J-int,660
Charlie20a,655
LTR88a,654
LTR103_Mam,652
LTR17,651
MER61A,643
LTR12,639
MER6B,639
Kanga1a,639
MamRep1894,638
LTR7B,635
X4b_DNA,633
L1P5,633
LTR49-int,632
LTR23,629
Eutr10,628
Charlie4,624
X9a_DNA,621
MLT1E,621
UCON105,618
MER110,618
LTR12D,606
X9b_DNA,606
MST-int,603
X6B_LINE,602
Charlie30b,601
MER4CL34,598
Zaphod2,592
LTR16B,590
LTR40c,588
LTR9,588
LTR41C,585
ORSL-2b,585
HSMAR1,584
Eutr18,581
MER106A,580
Tigger23a,579
MER6,574
MamGypLTR1d,568
Tigger12A,566
MER72,565
Chap1_Mam,563
MER92B,563
LTR81A,563
Tigger9b,562
LTR89B,562
MER41C,559
X1_DNA,559
MER50B,559
L5,559
LTR41B,558
Tigger5,557
LTR103b_Mam,556
MER47B,555
SVA_C,554
MER51B,551
X7C_LINE,548
MER4E,548
Eutr15,545
MamGypLTR4,544
MER34A1,543
MER54A,537
MER76,534
LTR47A,533
MER57A-int,526
MER5C1,522
L1M3c,522
MamRep488,518
LTR9B,515
LTR81C,514
Kanga1d,508
Charlie21a,506
LTR12F,506
Mam_R4,503
MSTA1,502
MER65C,500
LTR87,498
LTR29,497
Tigger6a,496
MER44D,492
Tigger3d,491
MER4C,490
Eutr11,485
Charlie17b,483
Arthur1C,482
LTR105_Mam,480
Charlie26a,477
X24_DNA,476
LTR83,473
LTR106_Mam,467
HERVL40-int,464
MamGypLTR3,463
LTR90B,463
hAT-N1a_Mam,457
X5a_DNA,456
AmnSINE2,455
HERVH-int,454
L1MEg1,453
MER9a3,453
LTR26,452
MER34B,451
MER70B,443
MER110A,442
LTR84a,441
MER66C,440
L1M6B,436
LTR10C,435
L1MDb,431
PABL_A,431
LTR53,428
MER70A,427
MER75,423
MER34C_v,420
MLT2E,417
Ricksha,417
Charlie30a,414
LTR40A1,412
LTR37-int,411
Helitron2Na_Mam,407
LTR80B,406
MER4B-int,404
Charlie13a,404
MER57E1,404
Charlie14a,402
MER45R,399
MamTip1b,399
LTR86A1,398
THE1D-int,390
Eutr2B,388
LTR13,386
X9_LINE,385
L1M3d,385
L1M3a,384
Eutr16,382
X2a_DNA,382
MERX,378
L2-2_Mam,377
MER34C2,376
MER61B,375
LTR5B,373
L1MEg2,373
MER66A,370
ERVL-int,369
LTR45C,369
L1M3e,369
MER41D,367
MER83,363
MER57-int,361
Charlie13b,359
MamGyp-int,358
MER89-int,357
MER57C2,356
MER67A,354
LTR65,353
MARE4,352
LTR7C,348
MER68B,347
X24_LINE,346
LTR5_Hs,345
LOR1-int,345
UCON34,344
ORSL-2a,343
AluYk11,342
MER57D,342
Tigger11a,341
LTR5A,341
LTR102_Mam,341
AluYe6,341
LTR45B,341
MER67B,340
LTR90A,340
MER21-int,339
LTR19A,339
LTR107_Mam,339
UCON55,338
EUTREP16,338
MER41-int,338
LTR36,337
L1M3f,333
Looper,333
LTR55,331
L1PBa1,331
MLT-int,330
MER54B,328
UCON44,327
L1M3b,326
MER57F,325
LTR1A1,320
MER34B-int,320
LTR80A,319
LTR51,319
CR1-16_AMi,319
Eutr5,318
EUTREP4,316
LTR10F,314
MER101-int,314
MER52C,311
X32_DNA,309
LTR24B,308
LTR1B,305
LTR6A,304
LTR1E,303
MER31-int,303
LTR18B,301
THE1-int,299
L1P4a,297
LTR14B,296
AluYb9,295
MER65-int,295
Kanga1b,294
LTR68,290
MER107,290
Charlie3,289
MER65D,288
LTR57-int,288
AluYd8,288
MER9a1,286
MER4D0,283
X10b_DNA,282
LTR1D,281
MER41E,281
MER101,281
X11_DNA,280
LTR27,280
Helitron1Na_Mam,279
LTR66,279
Zaphod4a,278
MER126,276
Charlie32a,274
PABL_B,273
X8_LINE,272
LTR2B,269
Charlie10b,267
LTR43,264
MER9a2,262
MER84,261
Charlie10a,260
Charlie17,260
LTR5,259
Tigger17b,259
LTR10A,258
LTR64,258
Helitron1Nb_Mam,256
LTR86A2,255
PRIMA4_LTR,255
MER61E,252
LTR81AB,249
MER97b,247
Ricksha_0,246
LTR24C,245
MER61C,244
PRIMA4-int,243
LTR42,243
MER4A1_v,242
LTR86B1,241
L1M2a,240
MLT1-int,237
MER99,235
EUTREP8,234
UCON73,234
LTR19B,233
LTR24,233
MER11D,232
UCON29,232
LTR15,231
LTR62,230
MER30B,227
L1M2c,226
LTR28B,226
MER70C,225
LTR26C,223
LTR81,221
MER61D,221
UCON40,221
LTR1F1,219
MER127,219
LTR75,218
MER51-int,218
MARE8,218
MER73,217
LTR27D,216
LTR28C,215
LTR86B2,215
MER34C,215
LTR1D1,215
LTR1,215
hAT-N1_Mam,214
UCON58,213
LTR86C,211
MER97c,209
MER110-int,209
MER61-int,209
LTR2752,207
MER66D,207
HERV35I-int,207
LTR9A1,207
L1M3de,206
Eutr2,206
EUTREP7,206
LTR3B_v,206
MLT1H-int,206
FordPrefect_a,205
LTR34,205
MER101B,205
LTR31,204
LTR10E,203
LTR25-int,203
MER92-int,202
LTR60B,201
UCON38,199
LTR16D2,197
X2b_DNA,197
L2-1_Crp,197
MER74C,197
AluYi6_4d,196
MER66-int,196
LTR38,195
LTR2C,195
LTR57,194
LTR43B,192
UCON26,192
LTR25,189
MER97a,189
HERV17-int,186
Charlie6,186
X20_LINE,185
X2_LINE,183
UCON8,183
LTR75B,183
X4a_DNA,183
UCON78,183
LTR46,180
LTR39-int,179
LTR47A2,179
PRIMA41-int,178
L1MEa,177
LTR27E,177
hAT-4b_Ther,176
Tigger17c,176
LTR7Y,175
UCON35,174
UCON4,172
Tigger17d,171
Tigger6,170
LTR53B,170
MER51E,169
LTR35B,169
LTR76,167
HUERS-P1-int,167
X15_LINE,166
L1M2b,166
LTR71B,164
HUERS-P3-int,164
UCON37,163
MLT1F-int,163
ERV24_Prim-int,163
MER34D,162
MER34-int,162
MER125,162
LTR13A,160
LTR73,159
LTR10D,159
LTR38B,159
MER130,159
MER57E3,154
L1P4e,153
MER48,152
LTR23-int,151
LTR44,151
MARE6,151
Eulor8,151
L1P,151
MER92D,150
MER83C,150
EutTc1-N2,150
LTR22A,149
MER87B,149
ERV24B_Prim-int,149
MER51C,148
MER52-int,148
LTR6B,148
UCON33,148
LTR10B1,148
MER57C1,147
LTR27B,147
LTR1B1,146
PABL_B-int,146
LTR16D1,144
EUTREP15,144
LTR47B2,143
Tigger1a_Art,142
HERVE-int,142
MER50-int,141
MER65B,141
Tigger21a,140
Tigger17,140
DNA1_Mam,140
L1PBb,139
LTR18A,138
AmnHarb1,137
UCON2,137
LTR72B,135
LTR45,133
LTR108e_Mam,133
UCON7,133
Harlequin-int,133
LTR1F2,132
X12_LINE,132
MER6C,132
MER61F,130
Ricksha_b,129
MER87,129
LTR22B,129
LTR71A,127
Ricksha_a,127
LTR12B,127
MER68C,126
CR1-12_AMi,126
LTR38A1,126
LTR9C,126
LTR3A,126
MER92A,125
MER72B,124
MER129,123
X13_LINE,122
Tigger6b,121
LTR69,120
MER51D,119
LTR61,119
Eulor9C,118
LTR26D,118
HERV9-int,117
LTR1F,117
LTR72,117
Eulor9A,116
HERVL74-int,116
UCON39,115
HUERS-P3b-int,115
LTR30,115
PrimLTR79,115
LTR22B1,113
LTR14A,112
UCON86,112
LTR14C,109
Eulor5A,109
MER68-int,108
LTR27C,108
CR1-1_Amn,106
MER95,105
PABL_A-int,105
X34_DNA,104
HERVK9-int,103
LTR70,103
LTR28,102
L1P4b,101
UCON14,101
MER11B,100
Zaphod5a,100
LTR26B,100
LTR10B2,100
HERV9NC-int,100
LTR19C,99
MER88,97
LTR59,96
Eulor11,95
UCON9,94
MER83B,94
LTR77,94
LTR53-int,93
CR1-13_AMi,92
LTR75_1,92
HERVE_a-int,92
LTR4,92
MER75B,92
LTR47B4,91
HERVL18-int,90
HERV9N-int,90
Eulor1,90
HERVK22-int,88
HERVK14-int,88
HERVK-int,88
LTR22C0,87
LTR06,87
LTR22E,87
LTR22,87
LTR1B0,87
MER92C,86
MER75A,86
L1P4d,85
MARE10,83
X1_LINE,83
HERV4_I,82
LTR26E,82
LTR47B3,81
LTR10G,81
MER41G,81
X5B_LINE,81
CR1-L3A_Croc,80
LTR3B,80
HERVK3-int,80
LTR38C,80
LTR13_v,79
L1P3b,79
UCON9B,79
LTR21A,78
MER134,78
EuthAT-N1,76
LTR14,76
L1M2a1,76
PRIMAX-int,73
HERVK11-int,72
HUERS-P2-int,72
LTR35,72
MER121B,72
Eulor6D,71
LTR22C2,71
Charlie11,70
MER57E2,70
X7D_LINE,69
HERVIP10F-int,68
HERVIP10B3-int,68
Eulor2A,67
LTR3,67
LTR108a_Mam,67
LTR18C,67
LTR52-int,66
MER83B-int,66
X33a_DNA,66
MER50C,66
MER70-int,65
LTR10B,64
LTR108d_Mam,63
LTR35A,63
Eulor2B,63
X23_DNA,62
Eulor12,60
LTR38-int,59
HERVFH21-int,58
LTR1C1,58
Eulor6B,57
LTR1C,57
HERV3-int,56
MER133A,56
LTR19-int,55
UCON99,54
MER84-int,54
LTR58,53
LTR1C3,52
HERVS71-int,52
HERVP71A-int,51
UCON15,49
UCON11,49
UCON89,49
ERVL47-int,48
Eulor2C,48
UCON80,47
MER123,47
UCON83,46
UCON59,46
EuthAT-N1a,45
MER76-int,45
L1P4c,45
X21_LINE,45
UCON81,45
EutTc1-N1,44
MER97d,44
Zaphod5b,43
Eulor5B,41
UCON97,41
Merlin1_HS,40
HERVFH19-int,39
Eulor3,37
MER83A-int,37
Eulor10,37
MER132,37
LTR108b_Mam,36
HERVL32-int,36
LTR60,35
MER133B,34
LTR47B,34
LTR22B2,33
CR1-11_Crp,32
UCON51,31
Eulor9B,31
HERVK14C-int,30
UCON23,30
MER136,30
CR1-L3B_Croc,29
Eulor6E,29
LTR108c_Mam,28
Eulor6A,28
UCON21,28
HERVL66-int,27
MER9B,27
LTR21B,27
LTR43-int,27
HERV1_LTRc,26
X22_DNA,26
UCON103,25
LTR22C,25
MamRTE2,25
HERVH48-int,24
HERVI-int,24
UCON69,24
UCON62,23
HERVKC4-int,23
LTR109A2,22
HERV15-int,20
HERV1_LTRa,20
Eulor6C,19
HERV1_LTRe,18
LTR21C,18
UCON100,18
LTR46-int,18
Charlie12,17
Charlie7b_Mars,16
Tigger1a_Mars,15
HERVK13-int,14
X1_LR,14
HERV-Fc1_LTR1,13
HERV30-int,12
HERV1_LTRd,12
HERV1_I,12
Alu-VAR_rnd-5_family-1084,11
Eulor7,11
HERV-Fc2-int,10
HERVK11D-int,8
HERV1_LTRb,8
HERV-Fc1_LTR3,4
HERV-Fc2_LTR,3
HERV-Fc1-int,3
Chompy-6_Croc,2
HERV-Fc1_LTR2,2
